t_unix_s,pressure_kpa
1769114670.129033,100.220
1769114670.153609,100.200
1769114670.182612,100.210
1769114670.210624,100.200
1769114670.239645,100.210
1769114670.267867,100.200
1769114670.296869,100.200
1769114670.325869,100.210
1769114670.354092,100.200
1769114670.383107,100.190
1769114670.410828,100.200
1769114670.439850,100.210
1769114670.469057,100.210
1769114670.493057,100.210
1769114670.522038,100.200
1769114670.551088,100.220
1769114670.579329,100.200
1769114670.608310,100.220
1769114670.637329,100.210
1769114670.665403,100.210
1769114670.694403,100.200
1769114670.722664,100.210
1769114670.751695,100.210
1769114670.780226,100.190
1769114670.808212,100.200
1769114670.833525,100.210
1769114670.861666,100.210
1769114670.890669,100.210
1769114670.919695,100.210
1769114670.948274,100.210
1769114670.976814,100.200
1769114671.005816,100.210
1769114671.033885,100.210
1769114671.063054,100.210
1769114671.091027,100.220
1769114671.120030,100.210
1769114671.145033,100.210
1769114671.173332,100.210
1769114671.202331,100.210
1769114671.230328,100.210
1769114671.259736,100.210
1769114671.288098,100.210
1769114671.317098,100.210
1769114671.345272,100.210
1769114671.374516,100.210
1769114671.402673,100.200
1769114671.431673,100.200
1769114671.460225,100.210
1769114671.488313,100.210
1769114671.513294,100.210
1769114671.542324,100.210
1769114671.570552,100.200
1769114671.599565,100.220
1769114671.628547,100.200
1769114671.656612,100.210
1769114671.685629,100.210
1769114671.713627,100.200
1769114671.742638,100.210
1769114671.771234,100.210
1769114671.800235,100.210
1769114671.825218,100.210
1769114671.853246,100.210
1769114671.881780,100.210
1769114671.910783,100.220
1769114671.939768,100.200
1769114671.967875,100.210
1769114671.996897,100.200
1769114672.024875,100.200
1769114672.053907,100.200
1769114672.083035,100.210
1769114672.111034,100.210
1769114672.140017,100.210
1769114672.165164,100.200
1769114672.193166,100.200
1769114672.222180,100.200
1769114672.251195,100.210
1769114672.279407,100.220
1769114672.308390,100.210
1769114672.337408,100.200
1769114672.365864,100.200
1769114672.393876,100.200
1769114672.422879,100.210
1769114672.450891,100.210
1769114672.480439,100.210
1769114672.504442,100.210
1769114672.533421,100.210
1769114672.561536,100.210
1769114672.590842,100.200
1769114672.619832,100.210
1769114672.647839,100.200
1769114672.676387,100.210
1769114672.705408,100.210
1769114672.734387,100.210
1769114672.762988,100.220
1769114672.790974,100.200
1769114672.819987,100.200
1769114672.845016,100.200
1769114672.873563,100.200
1769114672.902579,100.200
1769114672.930613,100.200
1769114672.959768,100.190
1769114672.988770,100.200
1769114673.016785,100.200
1769114673.045894,100.210
1769114673.074032,100.210
1769114673.103024,100.200
1769114673.131006,100.200
1769114673.160447,100.210
1769114673.184448,100.210
1769114673.213427,100.210
1769114673.242442,100.220
1769114673.271016,100.180
1769114673.300031,100.200
1769114673.328026,100.200
1769114673.357132,100.200
1769114673.385187,100.200
1769114673.413805,100.190
1769114673.442306,100.200
1769114673.471101,100.200
1769114673.500132,100.200
1769114673.524276,100.200
1769114673.553321,100.190
1769114673.581926,100.190
1769114673.610898,100.210
1769114673.639899,100.200
1769114673.668510,100.200
1769114673.696501,100.200
1769114673.725483,100.190
1769114673.754494,100.200
1769114673.783056,100.200
1769114673.811038,100.200
1769114673.840057,100.210
1769114673.865160,100.200
1769114673.893139,100.200
1769114673.922157,100.200
1769114673.951155,100.200
1769114673.979666,100.200
1769114674.008666,100.210
1769114674.036682,100.210
1769114674.065250,100.200
1769114674.094231,100.210
1769114674.122279,100.200
1769114674.151291,100.210
1769114674.175783,100.210
1769114674.204782,100.200
1769114674.233785,100.210
1769114674.262378,100.210
1769114674.291363,100.200
1769114674.319407,100.210
1769114674.348425,100.220
1769114674.376722,100.210
1769114674.405743,100.210
1769114674.433742,100.200
1769114674.462749,100.200
1769114674.491733,100.210
1769114674.515757,100.210
1769114674.544901,100.210
1769114674.574075,100.210
1769114674.602096,100.210
1769114674.630709,100.200
1769114674.659243,100.200
1769114674.688305,100.210
1769114674.717322,100.200
1769114674.745330,100.200
1769114674.773781,100.200
1769114674.802795,100.210
1769114674.831799,100.200
1769114674.855786,100.200
1769114674.884346,100.200
1769114674.913345,100.200
1769114674.942607,100.210
1769114674.971176,100.210
1769114674.999189,100.210
1769114675.028187,100.210
1769114675.057183,100.210
1769114675.085449,100.200
1769114675.114443,100.200
1769114675.142438,100.200
1769114675.171742,100.200
1769114675.195737,100.210
1769114675.224726,100.210
1769114675.253731,100.210
1769114675.281817,100.200
1769114675.310817,100.210
1769114675.339801,100.210
1769114675.368408,100.210
1769114675.396408,100.210
1769114675.425461,100.200
1769114675.454481,100.210
1769114675.483020,100.200
1769114675.511001,100.210
1769114675.536021,100.210
1769114675.564357,100.210
1769114675.593843,100.210
1769114675.622273,100.210
1769114675.651101,100.200
1769114675.679704,100.200
1769114675.707708,100.210
1769114675.736825,100.210
1769114675.765369,100.210
1769114675.794376,100.200
1769114675.822356,100.200
1769114675.851362,100.190
1769114675.875515,100.200
1769114675.904398,100.200
1769114675.933404,100.200
1769114675.961956,100.200
1769114675.990687,100.210
1769114676.019681,100.200
1769114676.047693,100.200
1769114676.076292,100.210
1769114676.105298,100.200
1769114676.134310,100.190
1769114676.162994,100.210
1769114676.190998,100.210
1769114676.216071,100.200
1769114676.244445,100.200
1769114676.273990,100.210
1769114676.301996,100.200
1769114676.330997,100.200
1769114676.358936,100.200
1769114676.388741,100.200
1769114676.416472,100.200
1769114676.445476,100.200
1769114676.473995,100.210
1769114676.502995,100.200
1769114676.531462,100.210
1769114676.555558,100.210
1769114676.585073,100.200
1769114676.613072,100.210
1769114676.642056,100.210
1769114676.671294,100.210
1769114676.699310,100.210
1769114676.728383,100.210
1769114676.757373,100.210
1769114676.785829,100.200
1769114676.813827,100.210
1769114676.842812,100.210
1769114676.871351,100.210
1769114676.896352,100.210
1769114676.925372,100.210
1769114676.953692,100.210
1769114676.982207,100.210
1769114677.011206,100.200
1769114677.040252,100.210
1769114677.068370,100.210
1769114677.096925,100.210
1769114677.125899,100.210
1769114677.153927,100.200
1769114677.182511,100.220
1769114677.211511,100.200
1769114677.236517,100.200
1769114677.264661,100.210
1769114677.293643,100.210
1769114677.322660,100.210
1769114677.350713,100.220
1769114677.379739,100.200
1769114677.407722,100.210
1769114677.436738,100.210
1769114677.465870,100.210
1769114677.493865,100.210
1769114677.522884,100.210
1769114677.550888,100.210
1769114677.575956,100.200
1769114677.604974,100.190
1769114677.633956,100.200
1769114677.662086,100.210
1769114677.691072,100.210
1769114677.720091,100.200
1769114677.748468,100.210
1769114677.776837,100.210
1769114677.804914,100.200
1769114677.833963,100.210
1769114677.863156,100.210
1769114677.887170,100.200
1769114677.916337,100.200
1769114677.944338,100.210
1769114677.973944,100.200
1769114678.001964,100.200
1769114678.030964,100.210
1769114678.058981,100.210
1769114678.088096,100.210
1769114678.117104,100.210
1769114678.145102,100.210
1769114678.174170,100.190
1769114678.203195,100.210
1769114678.227191,100.200
1769114678.256236,100.200
1769114678.284417,100.200
1769114678.313433,100.210
1769114678.342417,100.190
1769114678.371020,100.200
1769114678.399025,100.200
1769114678.428053,100.190
1769114678.457066,100.200
1769114678.485601,100.190
1769114678.513584,100.200
1769114678.542585,100.190
1769114678.567688,100.210
1769114678.595687,100.200
1769114678.624675,100.200
1769114678.653702,100.200
1769114678.681788,100.210
1769114678.710769,100.210
1769114678.739774,100.200
1769114678.767872,100.200
1769114678.796871,100.210
1769114678.825857,100.200
1769114678.853898,100.200
1769114678.883138,100.210
1769114678.907746,100.200
1769114678.936352,100.210
1769114678.965054,100.200
1769114678.993033,100.200
1769114679.022052,100.200
1769114679.051054,100.210
1769114679.079559,100.200
1769114679.108119,100.220
1769114679.137131,100.190
1769114679.165701,100.210
1769114679.193789,100.210
1769114679.222807,100.210
1769114679.246838,100.210
1769114679.276327,100.200
1769114679.305329,100.200
1769114679.333346,100.210
1769114679.362462,100.220
1769114679.391196,100.200
1769114679.419032,100.210
